"","State","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location_Code","Marital_Status","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Total_Claim_Amount","Vehicle_Class","Vehicle_Size","pred"
"2629","Nevada",2783.583044,"No","Basic","Bachelor","Employed","M",42297,"Urban","Married",71,29,62,0,1,"Personal Auto","Personal L3","Offer4","Agent",200.38673,"Four-Door Car","Medsize",4507.39307719616
"2630","Arizona",8649.997286,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Married",115,0,3,0,3,"Special Auto","Special L1","Offer1","Branch",824.597262,"Four-Door Car","Small",8212.20421585414
"2632","Nevada",8395.806331,"No","Premium","Doctor","Unemployed","F",0,"Rural","Married",110,22,72,0,9,"Personal Auto","Personal L1","Offer1","Agent",161.092415,"Four-Door Car","Medsize",9298.97069424435
"2634","Oregon",7155.337765,"No","Basic","College","Disabled","M",16916,"Suburban","Married",64,31,31,0,2,"Personal Auto","Personal L2","Offer3","Agent",377.512951,"Four-Door Car","Medsize",4786.92129727906
"2635","Oregon",3954.344534,"Yes","Basic","Bachelor","Disabled","M",18375,"Suburban","Married",103,8,50,0,1,"Personal Auto","Personal L1","Offer1","Branch",535.080276,"Sports Car","Large",6670.74586033733
"2636","Oregon",15032.9003,"No","Basic","College","Medical Leave","M",17150,"Suburban","Married",65,28,19,0,2,"Personal Auto","Personal L2","Offer1","Agent",689.800891,"Two-Door Car","Medsize",5527.69582422935
"2638","Arizona",9256.918609,"No","Basic","College","Disabled","F",21947,"Suburban","Married",118,30,76,0,9,"Personal Auto","Personal L3","Offer1","Call Center",566.4,"SUV","Large",9951.20429287197
"2640","Nevada",2530.705137,"Yes","Basic","Bachelor","Employed","F",89451,"Rural","Single",63,11,2,0,1,"Personal Auto","Personal L3","Offer2","Web",61.769564,"Four-Door Car","Medsize",4723.93252483192
"2641","Washington",5482.549359,"No","Basic","Bachelor","Employed","F",79325,"Urban","Married",68,4,31,0,4,"Corporate Auto","Corporate L2","Offer2","Agent",251.294821,"Four-Door Car","Medsize",5833.53654706796
"2642","Oregon",4050.506193,"No","Basic","College","Employed","M",88454,"Urban","Divorced",101,8,89,0,1,"Personal Auto","Personal L3","Offer1","Web",308.749796,"SUV","Medsize",7438.25719761744
"2643","California",6326.679236,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Divorced",87,2,41,0,3,"Personal Auto","Personal L2","Offer3","Call Center",417.6,"Four-Door Car","Medsize",6032.89528467703
"2646","Oregon",6314.579645,"No","Extended","College","Employed","F",54408,"Urban","Married",79,29,17,0,4,"Personal Auto","Personal L1","Offer2","Branch",288.329793,"Four-Door Car","Medsize",6319.06854852321
"2647","Nevada",6386.278164,"No","Extended","Bachelor","Employed","F",23751,"Suburban","Single",82,4,9,1,7,"Personal Auto","Personal L2","Offer1","Web",586.921708,"Two-Door Car","Medsize",7693.38851120745
"2652","Oregon",6478.801192,"No","Extended","Bachelor","Employed","M",50864,"Rural","Married",83,18,86,1,4,"Corporate Auto","Corporate L1","Offer1","Agent",158.362972,"Four-Door Car","Medsize",6663.51887754366
"2654","California",2404.380963,"No","Basic","High School or Below","Employed","M",62488,"Urban","Married",62,35,47,2,1,"Personal Auto","Personal L3","Offer2","Call Center",200.689331,"Four-Door Car","Medsize",4358.26989075024
"2655","California",9264.565015,"No","Premium","Bachelor","Employed","F",55837,"Suburban","Single",117,16,35,0,9,"Personal Auto","Personal L1","Offer2","Agent",741.867506,"Two-Door Car","Medsize",9698.24073687142
"2657","California",5367.089817,"No","Basic","College","Employed","F",97742,"Rural","Single",67,33,57,0,5,"Personal Auto","Personal L1","Offer1","Agent",67.648392,"Four-Door Car","Small",6387.5764942361
"2659","Nevada",8646.504109,"Yes","Basic","High School or Below","Employed","F",64125,"Urban","Married",108,3,44,0,3,"Personal Auto","Personal L3","Offer2","Branch",369.818708,"SUV","Large",7822.76062673732
"2660","Arizona",4340.086445,"No","Basic","College","Unemployed","M",0,"Suburban","Single",62,22,39,0,6,"Personal Auto","Personal L2","Offer3","Branch",446.4,"Four-Door Car","Medsize",5454.96741211549
"2661","Washington",4930.949334,"No","Basic","Doctor","Employed","M",70412,"Rural","Married",61,27,12,0,3,"Corporate Auto","Corporate L3","Offer3","Web",136.291083,"Two-Door Car","Medsize",5725.20890551778
"2662","Washington",5292.632491,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",70,13,8,0,3,"Personal Auto","Personal L2","Offer1","Branch",336,"Two-Door Car","Medsize",6019.78742744271
"2665","Oregon",10340.45566,"No","Extended","High School or Below","Employed","M",40882,"Urban","Divorced",89,6,17,0,2,"Corporate Auto","Corporate L3","Offer2","Branch",393.637436,"Two-Door Car","Large",6431.33976395909
"2666","Oregon",6369.262355,"Yes","Extended","High School or Below","Employed","M",34498,"Suburban","Single",83,30,72,0,7,"Personal Auto","Personal L2","Offer2","Branch",398.4,"Two-Door Car","Small",7010.15646241466
"2667","Oregon",2767.5949,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",74,0,52,0,1,"Personal Auto","Personal L3","Offer1","Call Center",355.2,"Four-Door Car","Small",5222.40469856866
"2668","California",4831.421687,"No","Basic","High School or Below","Medical Leave","F",23228,"Suburban","Married",64,4,0,1,6,"Corporate Auto","Corporate L3","Offer1","Agent",307.2,"Four-Door Car","Medsize",6325.99485380766
"2669","Oregon",4282.947971,"Yes","Basic","College","Employed","F",40864,"Rural","Married",109,16,70,1,1,"Personal Auto","Personal L2","Offer1","Agent",166.937747,"SUV","Medsize",7599.33920156974
"2671","Arizona",2580.849899,"Yes","Basic","College","Employed","M",46900,"Suburban","Married",66,13,59,0,1,"Personal Auto","Personal L2","Offer2","Web",316.8,"Four-Door Car","Medsize",4666.20613061316
"2672","Washington",6481.382268,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",92,1,17,0,6,"Personal Auto","Personal L2","Offer3","Agent",441.6,"Four-Door Car","Medsize",6970.15271493606
"2673","Washington",5133.414764,"No","Basic","Master","Employed","M",53390,"Urban","Married",64,13,41,0,5,"Personal Auto","Personal L2","Offer3","Branch",278.999409,"Four-Door Car","Medsize",5974.51917840985
"2674","California",9369.639891,"No","Basic","College","Employed","F",99185,"Urban","Married",115,8,19,0,3,"Corporate Auto","Corporate L3","Offer2","Call Center",449.428182,"SUV","Medsize",8403.66702251171
"2675","Oregon",3196.578455,"No","Extended","Bachelor","Employed","F",62815,"Rural","Married",80,14,84,0,1,"Special Auto","Special L1","Offer2","Call Center",47.061469,"Two-Door Car","Large",5513.59012373232
"2677","Washington",8861.900439,"No","Premium","Doctor","Employed","F",41854,"Urban","Married",110,17,44,0,8,"Personal Auto","Personal L3","Offer1","Agent",481.269644,"Four-Door Car","Medsize",9589.31050870478
"2679","Arizona",6832.36853,"No","Extended","High School or Below","Employed","M",66627,"Suburban","Married",85,32,55,0,8,"Personal Auto","Personal L1","Offer2","Branch",733.21126,"Four-Door Car","Medsize",7567.87503803987
"2680","Oregon",2242.090803,"No","Basic","High School or Below","Disabled","M",12131,"Urban","Single",64,32,60,1,1,"Personal Auto","Personal L2","Offer3","Call Center",251.44949,"Four-Door Car","Medsize",4018.6194352138
"2682","California",6189.122455,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",90,4,18,0,5,"Personal Auto","Personal L1","Offer1","Call Center",648,"Two-Door Car","Large",7236.25923113115
"2683","California",5643.724704,"No","Basic","College","Employed","M",33317,"Suburban","Married",72,18,31,1,3,"Personal Auto","Personal L2","Offer1","Agent",345.6,"Two-Door Car","Medsize",6293.82938705314
"2684","Arizona",5332.462694,"Yes","Basic","Doctor","Employed","F",68931,"Urban","Married",66,32,30,0,7,"Personal Auto","Personal L2","Offer2","Branch",309.577946,"Four-Door Car","Medsize",6522.05986070996
"2687","California",7835.929299,"No","Basic","Master","Employed","F",49390,"Urban","Married",195,31,15,0,1,"Personal Auto","Personal L1","Offer4","Call Center",738.05105,"Luxury Car","Medsize",10597.2283339062
"2688","Oregon",2552.913868,"No","Basic","College","Employed","M",33124,"Rural","Single",67,35,7,0,1,"Personal Auto","Personal L1","Offer1","Call Center",80.119997,"Four-Door Car","Large",5272.25742136826
"2689","California",2795.410029,"No","Basic","College","Employed","F",40516,"Rural","Married",70,21,31,0,1,"Personal Auto","Personal L3","Offer2","Web",137.168874,"Two-Door Car","Small",5197.06168680897
"2691","Oregon",6886.324494,"No","Extended","College","Employed","M",34615,"Suburban","Married",87,6,73,0,7,"Personal Auto","Personal L2","Offer1","Agent",417.6,"Four-Door Car","Medsize",7784.38032894752
"2692","California",5106.781547,"No","Basic","College","Disabled","F",29894,"Rural","Married",72,9,69,4,3,"Personal Auto","Personal L3","Offer3","Agent",16.510134,"Four-Door Car","Large",4844.5115407032
"2697","California",9198.685111,"No","Basic","Doctor","Employed","M",31562,"Suburban","Married",115,14,6,0,3,"Personal Auto","Personal L2","Offer1","Call Center",552,"SUV","Medsize",8801.50782777798
"2700","Oregon",3649.708655,"No","Basic","Master","Unemployed","M",0,"Suburban","Single",100,31,80,0,1,"Personal Auto","Personal L3","Offer1","Agent",480,"SUV","Medsize",6588.21550442168
"2702","Arizona",4631.011293,"No","Basic","Bachelor","Employed","M",78152,"Suburban","Married",114,18,35,0,1,"Corporate Auto","Corporate L3","Offer4","Branch",547.2,"SUV","Medsize",7292.65100087639
"2704","Oregon",9378.634228,"No","Basic","College","Employed","F",36067,"Suburban","Married",117,30,78,0,3,"Personal Auto","Personal L3","Offer2","Branch",561.6,"Sports Car","Large",7488.15874706121
"2705","Oregon",15762.53198,"No","Basic","Bachelor","Employed","F",44362,"Rural","Married",66,15,75,0,2,"Corporate Auto","Corporate L3","Offer2","Call Center",142.113373,"Four-Door Car","Small",4856.19451247255
"2706","Nevada",2635.505781,"No","Basic","Master","Employed","M",77350,"Suburban","Divorced",66,11,4,0,1,"Personal Auto","Personal L1","Offer4","Branch",316.8,"Four-Door Car","Medsize",4673.0369601047
"2707","Oregon",5741.72743,"No","Basic","College","Employed","F",86641,"Rural","Married",71,17,79,0,6,"Personal Auto","Personal L3","Offer4","Branch",161.752532,"Two-Door Car","Small",6206.55028410255
"2708","Oregon",8414.942855,"No","Basic","College","Employed","M",72258,"Rural","Married",105,8,50,0,4,"Personal Auto","Personal L2","Offer1","Branch",12.497538,"SUV","Medsize",8560.60338183283
"2709","Oregon",9123.911266,"No","Basic","Bachelor","Employed","M",70737,"Suburban","Married",114,25,12,0,4,"Corporate Auto","Corporate L3","Offer4","Web",741.655597,"SUV","Medsize",8187.54402247302
"2711","California",9022.08313,"No","Extended","College","Unemployed","M",0,"Suburban","Single",125,7,99,0,3,"Personal Auto","Personal L3","Offer1","Branch",988.535078,"SUV","Large",8226.28311879004
"2712","California",4759.664624,"No","Extended","College","Unemployed","M",0,"Suburban","Single",81,10,80,3,3,"Personal Auto","Personal L3","Offer1","Agent",388.8,"Four-Door Car","Medsize",5391.36500959928
"2713","Arizona",3993.882994,"No","Basic","Bachelor","Disabled","M",17672,"Suburban","Divorced",110,28,16,0,1,"Personal Auto","Personal L1","Offer3","Branch",792,"SUV","Medsize",7249.12416678562
"2714","Washington",18853.73945,"No","Premium","High School or Below","Unemployed","F",0,"Suburban","Single",173,24,21,0,2,"Corporate Auto","Corporate L2","Offer2","Branch",1245.6,"SUV","Medsize",10257.72187872
"2715","Oregon",8840.193762,"No","Basic","High School or Below","Employed","F",47297,"Suburban","Married",115,10,46,4,4,"Personal Auto","Personal L3","Offer2","Web",796.130111,"SUV","Medsize",7881.36990385436
"2716","California",6696.903521,"No","Extended","Doctor","Employed","F",57240,"Rural","Married",83,18,79,0,7,"Corporate Auto","Corporate L3","Offer2","Call Center",83.652384,"Four-Door Car","Medsize",7054.46664012278
"2718","Arizona",5205.748188,"No","Basic","Bachelor","Employed","F",31275,"Suburban","Divorced",66,26,0,0,3,"Personal Auto","Personal L3","Offer2","Agent",316.8,"Two-Door Car","Medsize",5659.79906664832
"2719","California",6141.961623,"No","Basic","College","Unemployed","M",0,"Suburban","Single",182,24,45,0,1,"Special Auto","Special L2","Offer3","Branch",1310.4,"Luxury Car","Small",9721.90084794348
"2720","California",4376.363592,"Yes","Premium","Bachelor","Employed","F",63774,"Rural","Divorced",111,18,63,0,1,"Corporate Auto","Corporate L2","Offer2","Agent",60.036683,"Four-Door Car","Medsize",7122.5796433325
"2722","Oregon",3451.10244,"No","Basic","College","Unemployed","F",0,"Suburban","Divorced",104,19,65,2,1,"Personal Auto","Personal L1","Offer1","Branch",499.2,"SUV","Small",6837.37480848706
"2723","Nevada",8107.26533,"No","Extended","College","Unemployed","M",0,"Suburban","Married",76,0,91,0,2,"Corporate Auto","Corporate L1","Offer3","Branch",364.8,"Two-Door Car","Small",5252.22277241061
"2724","Washington",8662.048958,"No","Basic","College","Unemployed","F",0,"Urban","Married",117,0,65,0,4,"Personal Auto","Personal L3","Offer3","Call Center",511.422666,"SUV","Medsize",8105.42529241637
"2726","Oregon",2535.266473,"No","Basic","Bachelor","Employed","M",86933,"Urban","Married",63,3,64,0,1,"Corporate Auto","Corporate L3","Offer3","Agent",269.563038,"Two-Door Car","Large",5100.65620351432
"2727","California",5633.741543,"No","Basic","Doctor","Employed","M",65255,"Urban","Divorced",72,3,65,2,3,"Personal Auto","Personal L3","Offer1","Agent",321.457124,"Four-Door Car","Small",5906.39541517994
"2728","Oregon",5176.730072,"No","Basic","High School or Below","Employed","M",41533,"Urban","Married",65,2,46,0,9,"Corporate Auto","Corporate L2","Offer3","Agent",232.879766,"Four-Door Car","Medsize",7044.35076418958
"2729","California",5531.723723,"No","Basic","College","Employed","M",50097,"Rural","Divorced",71,25,81,0,5,"Personal Auto","Personal L1","Offer3","Web",17.484679,"Four-Door Car","Medsize",6109.1692264872
"2730","California",2810.671023,"No","Basic","Bachelor","Employed","F",73858,"Suburban","Married",72,8,59,3,1,"Personal Auto","Personal L3","Offer4","Agent",422.59237,"Four-Door Car","Medsize",4338.99391072674
"2731","Oregon",2780.729047,"No","Basic","College","Employed","F",94943,"Suburban","Married",69,3,22,0,1,"Personal Auto","Personal L2","Offer2","Web",387.545055,"Four-Door Car","Medsize",5163.87313055343
"2732","California",2572.452634,"No","Basic","College","Employed","F",72685,"Rural","Married",68,20,97,5,1,"Personal Auto","Personal L3","Offer4","Branch",14.464783,"Four-Door Car","Medsize",3737.4482804413
"2733","California",7664.219255,"No","Basic","College","Employed","M",60184,"Rural","Divorced",199,7,44,1,1,"Personal Auto","Personal L3","Offer2","Web",161.61574,"Luxury SUV","Medsize",10941.0743683836
"2734","California",3839.746159,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",106,29,38,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center",763.2,"SUV","Small",6097.87261343642
"2737","Washington",3220.775528,"No","Extended","Bachelor","Medical Leave","M",19098,"Suburban","Married",87,35,3,0,1,"Personal Auto","Personal L2","Offer2","Branch",417.6,"Two-Door Car","Medsize",5770.80773124904
"2739","Washington",16045.10952,"No","Basic","College","Unemployed","F",0,"Rural","Single",65,10,10,0,2,"Personal Auto","Personal L3","Offer2","Agent",163.046956,"Two-Door Car","Medsize",4672.96244274396
"2740","Oregon",4918.916267,"No","Basic","College","Employed","M",29256,"Suburban","Married",63,33,41,0,5,"Personal Auto","Personal L1","Offer4","Branch",302.4,"Four-Door Car","Medsize",5266.88999827005
"2741","Arizona",5623.757656,"No","Basic","High School or Below","Employed","F",77912,"Rural","Single",71,2,21,1,3,"Corporate Auto","Corporate L3","Offer3","Branch",23.89816,"Four-Door Car","Medsize",5601.34178432328
"2744","California",5279.124682,"No","Basic","College","Employed","M",22280,"Rural","Married",68,10,48,0,3,"Personal Auto","Personal L3","Offer3","Web",169.414572,"Four-Door Car","Large",5464.06900301864
"2745","Nevada",4803.935174,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",69,31,25,0,7,"Corporate Auto","Corporate L2","Offer1","Call Center",496.8,"Four-Door Car","Small",6520.56656461807
"2746","Nevada",2608.786334,"No","Basic","Master","Employed","M",61567,"Rural","Married",65,35,78,0,1,"Personal Auto","Personal L1","Offer4","Branch",39.532978,"Four-Door Car","Small",4226.50904846639
"2748","California",4260.33573,"No","Basic","College","Medical Leave","M",26991,"Suburban","Divorced",119,34,65,0,1,"Corporate Auto","Corporate L3","Offer3","Branch",856.8,"SUV","Medsize",7486.16144375954
"2749","Arizona",2369.369299,"No","Basic","Bachelor","Employed","M",49746,"Suburban","Single",61,5,88,0,1,"Personal Auto","Personal L2","Offer2","Call Center",624.42874,"Two-Door Car","Small",4321.48669527774
"2751","Arizona",2652.067994,"No","Basic","College","Employed","F",49625,"Urban","Married",66,29,9,0,1,"Corporate Auto","Corporate L1","Offer3","Agent",261.549577,"Two-Door Car","Medsize",5347.81042338814
"2753","California",7712.436971,"No","Extended","Master","Employed","F",63624,"Rural","Married",95,10,5,0,5,"Personal Auto","Personal L3","Offer1","Call Center",175.243467,"Four-Door Car","Medsize",8039.31658341537
"2756","California",4355.702301,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",64,22,22,0,4,"Personal Auto","Personal L2","Offer4","Branch",460.8,"Two-Door Car","Medsize",4753.91250662189
"2757","California",11095.97445,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",101,10,48,0,2,"Personal Auto","Personal L3","Offer1","Agent",727.2,"SUV","Medsize",7054.40009932776
"2758","Oregon",3300.684961,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",92,3,9,0,1,"Personal Auto","Personal L1","Offer1","Web",711.323244,"Four-Door Car","Small",6040.67359405305
"2759","California",6981.081694,"No","Extended","College","Employed","M",34835,"Urban","Married",89,1,45,2,9,"Personal Auto","Personal L3","Offer1","Agent",294.691896,"Two-Door Car","Medsize",8557.67002673954
"2761","Oregon",7639.670244,"No","Basic","Master","Employed","M",34075,"Rural","Single",196,8,87,0,1,"Special Auto","Special L2","Offer3","Agent",451.896687,"Luxury SUV","Small",10595.4754741601
"2762","Oregon",19237.77089,"No","Basic","Bachelor","Employed","M",35624,"Urban","Single",66,6,55,2,2,"Personal Auto","Personal L1","Offer1","Call Center",227.44626,"Four-Door Car","Medsize",5053.77773567471
"2763","Oregon",2915.649943,"No","Basic","Doctor","Employed","F",83218,"Urban","Married",72,6,42,0,1,"Personal Auto","Personal L3","Offer4","Agent",245.103885,"Four-Door Car","Medsize",4805.36886481264
"2764","Arizona",4196.429642,"No","Basic","Bachelor","Employed","F",24641,"Suburban","Married",105,12,82,0,1,"Personal Auto","Personal L2","Offer2","Agent",504,"SUV","Medsize",6808.0310680827
"2765","Oregon",16473.16905,"Yes","Basic","Bachelor","Retired","M",22828,"Suburban","Married",106,11,54,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",508.8,"SUV","Medsize",7578.67442324571
"2766","Oregon",2657.570431,"No","Basic","College","Unemployed","M",0,"Suburban","Married",71,22,25,0,1,"Personal Auto","Personal L1","Offer3","Call Center",340.8,"Four-Door Car","Medsize",4805.55423292033
"2768","Arizona",2584.532849,"No","Basic","Bachelor","Employed","M",72731,"Rural","Married",65,10,7,0,1,"Personal Auto","Personal L3","Offer2","Agent",125.704164,"Four-Door Car","Medsize",4957.14266605272
"2769","California",5503.919257,"No","Basic","College","Employed","F",59932,"Rural","Single",71,16,77,1,3,"Personal Auto","Personal L3","Offer1","Branch",116.600107,"Four-Door Car","Medsize",5674.23290438406
"2770","Washington",8021.067105,"No","Basic","College","Employed","F",54292,"Suburban","Married",67,4,26,0,2,"Personal Auto","Personal L1","Offer1","Agent",321.6,"Four-Door Car","Small",5767.84845088636
"2771","California",19606.35999,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",194,0,22,0,2,"Personal Auto","Personal L2","Offer1","Agent",931.2,"Luxury SUV","Medsize",11064.3803443798
"2773","Nevada",7288.297591,"No","Extended","College","Employed","F",59414,"Urban","Married",91,23,21,0,3,"Personal Auto","Personal L3","Offer1","Call Center",340.32278,"Two-Door Car","Medsize",7454.6387687581
"2774","Oregon",5553.521059,"No","Extended","High School or Below","Employed","M",96587,"Suburban","Married",138,31,99,0,1,"Personal Auto","Personal L3","Offer2","Agent",749.244062,"SUV","Medsize",8567.07578045747
"2775","California",11702.34819,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Divorced",111,15,12,0,2,"Personal Auto","Personal L1","Offer3","Call Center",532.8,"SUV","Medsize",7518.58988024123
"2779","California",4111.888285,"No","Premium","College","Employed","F",65085,"Urban","Married",103,20,55,0,1,"Personal Auto","Personal L2","Offer2","Call Center",480.073548,"Four-Door Car","Medsize",6786.94901157885
"2780","California",15122.99194,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",72,35,86,0,2,"Personal Auto","Personal L3","Offer2","Agent",518.4,"Two-Door Car","Medsize",4656.08951783682
"2783","Nevada",4260.709139,"No","Basic","College","Unemployed","M",0,"Suburban","Single",62,1,73,0,3,"Personal Auto","Personal L3","Offer1","Agent",446.4,"Four-Door Car","Small",4879.5957089697
"2784","California",2609.533154,"No","Basic","Bachelor","Employed","M",60798,"Suburban","Married",66,21,57,0,1,"Personal Auto","Personal L3","Offer2","Call Center",316.8,"Four-Door Car","Medsize",4729.5106067905
"2785","Arizona",10796.44832,"No","Basic","High School or Below","Employed","F",30761,"Suburban","Divorced",69,16,16,2,2,"Special Auto","Special L3","Offer1","Branch",331.2,"Two-Door Car","Small",5820.51957333752
"2786","Arizona",2590.654042,"No","Basic","College","Employed","F",25981,"Rural","Married",65,33,38,0,1,"Personal Auto","Personal L3","Offer1","Agent",77.54669,"Two-Door Car","Large",5474.73468486926
"2788","Arizona",4194.659772,"No","Basic","Doctor","Employed","F",25581,"Urban","Married",105,9,21,0,1,"Personal Auto","Personal L3","Offer2","Branch",429.695284,"SUV","Medsize",7090.19207235296
"2789","California",10314.52484,"No","Basic","High School or Below","Employed","F",99759,"Rural","Married",65,12,25,3,2,"Personal Auto","Personal L2","Offer2","Agent",74.463101,"Two-Door Car","Medsize",5140.24253709537
"2791","Arizona",3954.344534,"Yes","Basic","Bachelor","Disabled","M",18375,"Suburban","Married",103,8,50,0,1,"Personal Auto","Personal L2","Offer1","Branch",535.080276,"Sports Car","Large",6670.74586033733
"2792","California",6089.517361,"No","Extended","Bachelor","Medical Leave","M",21832,"Suburban","Single",84,29,39,0,3,"Personal Auto","Personal L2","Offer1","Web",403.2,"Four-Door Car","Small",6157.40189295596
"2793","Arizona",12827.42831,"No","Premium","College","Unemployed","F",0,"Suburban","Single",117,25,43,0,2,"Personal Auto","Personal L3","Offer1","Agent",842.4,"Two-Door Car","Medsize",7863.34768455211
"2794","California",9135.291575,"No","Basic","College","Employed","F",95330,"Suburban","Married",113,1,1,0,3,"Corporate Auto","Corporate L2","Offer4","Branch",542.4,"Sports Car","Medsize",7519.10964750227
"2796","California",14827.91055,"No","Basic","College","Unemployed","F",0,"Suburban","Married",68,31,69,2,2,"Personal Auto","Personal L3","Offer2","Call Center",326.4,"Two-Door Car","Medsize",4537.11486150888
"2797","Oregon",2500.834374,"No","Basic","Bachelor","Employed","M",25899,"Suburban","Married",63,20,36,0,1,"Personal Auto","Personal L1","Offer3","Agent",302.4,"Four-Door Car","Medsize",4751.31185010072
"2798","Arizona",5395.346288,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",74,13,30,0,4,"Personal Auto","Personal L2","Offer3","Web",355.2,"Four-Door Car","Medsize",5742.99011642131
"2799","Oregon",2651.615963,"No","Basic","Bachelor","Employed","F",33201,"Urban","Married",66,9,56,0,1,"Personal Auto","Personal L3","Offer4","Branch",314.044227,"Two-Door Car","Medsize",4502.8127907497
"2801","Arizona",7155.471967,"No","Extended","Doctor","Employed","F",76506,"Suburban","Divorced",89,35,65,0,8,"Personal Auto","Personal L3","Offer2","Call Center",427.2,"Two-Door Car","Small",7988.63272345852
"2802","California",5994.226432,"No","Extended","High School or Below","Employed","M",41859,"Rural","Married",76,18,58,0,5,"Personal Auto","Personal L3","Offer1","Agent",166.1306,"Two-Door Car","Large",7055.77375749826
"2808","Oregon",14435.66453,"No","Extended","College","Employed","M",70600,"Suburban","Divorced",122,26,5,1,2,"Personal Auto","Personal L3","Offer2","Call Center",636.982333,"SUV","Medsize",8295.91372968309
"2809","Arizona",5237.477743,"No","Extended","College","Employed","F",33554,"Suburban","Married",131,25,36,0,1,"Special Auto","Special L2","Offer1","Agent",934.656068,"SUV","Medsize",8880.9773903663
"2810","California",7710.912153,"No","Basic","Bachelor","Employed","M",77642,"Urban","Married",64,20,14,0,2,"Personal Auto","Personal L3","Offer1","Branch",282.146354,"Two-Door Car","Large",6011.44978998867
"2814","Arizona",5575.751228,"No","Basic","High School or Below","Employed","M",91416,"Rural","Married",69,4,39,0,5,"Personal Auto","Personal L3","Offer2","Call Center",109.904496,"Four-Door Car","Medsize",6164.23006044193
"2815","California",2616.409509,"No","Basic","Bachelor","Disabled","M",22000,"Suburban","Married",69,27,36,0,1,"Personal Auto","Personal L3","Offer2","Web",383.224514,"Two-Door Car","Medsize",4782.6109711586
"2816","Oregon",4617.838205,"No","Premium","Bachelor","Employed","M",41167,"Urban","Divorced",118,16,4,0,1,"Personal Auto","Personal L2","Offer1","Branch",554.957693,"Four-Door Car","Large",8236.01063291701
"2817","Oregon",20123.86854,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",70,18,23,0,2,"Personal Auto","Personal L2","Offer1","Call Center",504,"Four-Door Car","Small",5212.20719750168
"2819","Oregon",8583.854913,"No","Basic","College","Employed","M",53944,"Suburban","Married",71,13,20,0,2,"Personal Auto","Personal L3","Offer2","Web",340.8,"Two-Door Car","Medsize",5619.71168406548
"2820","Nevada",4349.30875,"Yes","Basic","College","Employed","F",75648,"Rural","Married",108,28,10,0,1,"Personal Auto","Personal L1","Offer2","Branch",112.660916,"SUV","Large",7477.04486411235
"2821","California",4729.593583,"No","Basic","Bachelor","Medical Leave","M",29414,"Rural","Divorced",64,2,32,0,3,"Personal Auto","Personal L2","Offer3","Branch",71.303109,"Four-Door Car","Medsize",5104.00180851771
"2822","Arizona",5015.009472,"Yes","Extended","Bachelor","Employed","F",48567,"Suburban","Single",130,12,15,0,1,"Personal Auto","Personal L2","Offer2","Agent",624,"SUV","Medsize",8159.24128495909
"2824","California",3475.07136,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",96,6,60,0,1,"Personal Auto","Personal L1","Offer4","Web",460.8,"Two-Door Car","Large",5497.58840525341
"2825","Arizona",8542.218196,"No","Premium","College","Employed","F",50117,"Urban","Single",107,13,98,0,4,"Corporate Auto","Corporate L2","Offer1","Branch",462.654347,"Four-Door Car","Medsize",7914.8927137918
"2826","Arizona",16473.16905,"Yes","Basic","Bachelor","Retired","M",22828,"Suburban","Married",106,11,54,0,2,"Personal Auto","Personal L1","Offer1","Agent",508.8,"SUV","Medsize",7578.67442324571
"2827","Oregon",6776.353402,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",96,0,38,0,3,"Personal Auto","Personal L3","Offer1","Agent",818.730215,"Four-Door Car","Small",6642.76532482892
"2828","Oregon",9713.156737,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",136,7,34,0,3,"Corporate Auto","Corporate L3","Offer1","Agent",979.2,"SUV","Large",9041.78155004836
"2829","Oregon",4429.193391,"No","Basic","High School or Below","Employed","F",20868,"Suburban","Married",112,14,11,0,1,"Personal Auto","Personal L3","Offer2","Branch",537.6,"SUV","Large",7447.58324880833
